"Site","perTotSG","X3DTotSG","cat","perSand","perAlgae","volAlgae","denAlgae","Secchi","Landist","Edgedist","adjhab","Long","Lat","PinBiomass","PigBiomass","TozBiomass","totalBiomass","NumPin","NumPig","NumToz","TotNum","Area","biomassperarea","pigperarea","pinperarea","tozperarea","NumPreds","Preddens","threedcat","het","Tha","syr","othersg","totalan","hetan","hetsg","tpbiopin","tpbiopinper","tpbiopig","tpbiopigper","div"
"BB09_002",0.85,12.75,"Low",0.15,0,15141.6472,238.1511041,1.3,3.3,13.9,"Salt Marsh",-82.68583606,28.63194798,177437.9931,5322.187485,780.3535176,183540.5341,67,1,37,105,63.58,2886.765242,83.70851659,2790.783157,12.27356901,10,0.157282164,"Low Cover",0,0.85,0,0,392,2.600346655,0,15454203.15,243067.0517,611068.8835,9611.023647,0.255
"BB09_006",1,55,"High",0,0,17034.3531,103.5145424,NA,9.8,3.2,"Salt Marsh",-82.79029277,28.8810069,211342.7127,25443.12603,9596.239203,246382.0779,42,3,455,500,164.56,1497.217294,154.6130653,1284.289698,58.31453089,0,0,"High Cover",0.562335145,0.25,0.75,0,880,2.039498381,0.562335145,18407180.78,111856.9566,2921261.729,17751.95509,0.375
"BB09_008",0.6,21,"Mid",0.4,0,19600,104.8128342,3.3,10.2,5.8,"Salt Marsh",-83.91368543,29.92651536,29326.52943,1133.0417,822.5347888,31282.10592,5,1,39,45,187,167.2839889,6.059046524,156.8263606,4.398581758,1,0.005347594,"Mid Cover",0,0.6,0,0,91,2.211444337,0,2554233.935,13659.005,130090.5931,695.6716209,0.48
"BB09_009",0.95,36,"Mid",0.05,0,52049.41225,343.6285221,3.4,13.6,2.2,"Salt Marsh",-82.82548495,28.46749871,31196.31908,0,168.7250849,31365.04416,8,0,8,16,151.47,207.0709986,0,205.9570811,1.113917508,0,0,"Mid Cover",0.206192051,0.9,0.05,0,46,2.534651592,0.206192051,2717085.806,17938.11187,0,0,0.185
"BB09_018",0.55,9.625,"Low",0.3,0.15,4731.76475,30.12327954,1.5,2.9,14.2,"Salt Marsh",-82.68250163,28.65607222,397263.7102,141432.1762,9532.967296,548228.8537,103,13,452,568,157.08,3490.125119,900.3830927,2529.053414,60.68861278,7,0.04456328,"Low Cover",0,0.55,0,0,1059,2.061484514,0.519579839,34600222.72,220271.3441,16238586.53,103377.8109,0.585
"BB09_019",0.85,17,"Low",0.15,0,7570.8236,52.5788152,2.4,4.8,8.3,"Urban",-82.78942574,28.28947072,98136.28112,0,991.2598737,99127.54099,27,0,47,74,143.99,688.4335092,0,681.549282,6.884227194,2,0.013889853,"Low Cover",0,0.85,0,0,149,2.209588709,0,8547312.771,59360.46094,0,0,0.255
"BB09_020",0.75,11.625,"Low",0.05,0.2,138600,871.9723183,NA,1.2,13.1,"Salt Marsh",-83.86070868,29.9937532,100870.5951,15176.54177,189.8157205,116236.9526,43,6,9,58,158.95,731.2799786,95.47997339,634.6058201,1.194185093,3,0.01887386,"Low Cover",0.927617334,0.1,0.45,0.2,306,2.628376111,1.24698264,8785461.563,55271.85633,1742500.14,10962.56772,0.705
"BB09_023",0.99,39.2,"Mid",0.01,0,35961.4121,228.9369245,3.5,9,4.7,"Urban",-82.80486913,28.38650157,109351.2375,14798.75106,210.9063561,124360.8949,16,1,10,27,157.08,791.7041947,94.211555,696.1499714,1.342668424,0,0,"Mid Cover",0.056465174,0.98,0.01,0,66,2.335777472,0.056465174,9524094.638,60632.12782,1699123.962,10816.93381,0.0394000000000001
"BB09_024",1,30,"Mid",0,0,35961.4121,243.4266033,1.4,1.9,4.8,"Salt Marsh",-83.60305524,29.76847317,137782.7799,0,2341.060553,140123.8404,108,0,111,219,147.73,948.5131009,0,932.6662147,15.84688657,4,0.027076423,"Mid Cover",0.693147181,0.5,0.5,0,567,2.340161844,0.693147181,12000378.46,81231.83146,0,0,0.5
"BB09_025",0.35,10.5,"Low",0.35,0.3,85171.7655,523.5218237,2.7,8.7,6.1,"Salt Marsh",-82.77212114,28.47482104,101402.4626,29597.50213,42.18127122,131042.146,16,2,2,20,162.69,805.4714242,181.9257614,623.2863888,0.259273903,1,0.006146659,"Low Cover",0,0.35,0,0,94,3.047792871,0.690185676,8831785.286,54285.97508,3398247.926,20887.87218,0.665
"BB09_026",0.98,29.1,"Mid",0.01,0.01,0,0,1.4,13.5,4.3,"Mangrove",-82.78441806,28.79055649,284224.0483,55040.62816,2678.510722,341943.1872,98,5,127,230,142.12,2406.01736,387.2827762,1999.887759,18.84682467,1,0.007036307,"Mid Cover",0.056937224,0.97,0.01,0,273,1.446539082,0.112827275,24754879.75,174182.9422,6319509.655,44466.0122,0.0588000000000001
"BB09_027",1,40,"Mid",0,0,3800,20.94933569,1.8,5.3,12.2,"Salt Marsh",-83.93617818,29.9850029,619728.7804,187690.8534,9532.967296,816952.6011,233,38,452,723,181.39,4503.845863,1034.736498,3416.554278,52.55508736,15,0.082694746,"Mid Cover",0.673011667,0.4,0.6,0,827,1.447490342,0.673011667,53976120.34,297569.4379,21549793.31,118803.6457,0.48
"BB09_028",0.9,27,"Mid",0.1,0,0,0,1.4,2.8,0.3,"Salt Marsh",-83.53836859,29.69572383,550391.5587,668255.6548,4133.76458,1222780.978,151,130,196,477,155.21,7878.235797,4305.493556,3546.108876,26.63336499,21,0.135300561,"Mid Cover",0.214559155,0.85,0.05,0,588,1.828736988,0.214559155,47937100.78,308853.1717,76726015.01,494336.8019,0.265
"BB09_035",0.975,68.25,"High",0.025,0,9463.5295,63.25888703,2.3,5,3.4,"Urban",-82.82500595,28.23251416,512222.0514,56208.43955,7318.450557,575748.9415,114,7,347,468,149.6,3848.589181,375.7248633,3423.944194,48.92012404,6,0.040106952,"High Cover",0.119246926,0.025,0.95,0,658,1.756302941,0.119246926,44612675.67,298213.0727,6453592.343,43138.98625,0.0962500000000001
"BB09_036",0.55,19.25,"Low",0.45,0,2000,11.75295293,2.2,3,12.6,"Salt Marsh",-83.89573639,29.9900615,94788.48049,11777.41667,2425.423095,108991.3203,29,3,115,147,170.17,640.4849286,69.20971188,557.0222747,14.25294173,2,0.011752953,"Low Cover",0.304636097,0.05,0.5,0,305,2.325974412,0.304636097,8255731.525,48514.61201,1352228.36,7946.338134,0.545
"BB09_037",0.25,2.5,"Low",0.25,0.5,18927.059,131.447038,2,3.2,12.1,"Fresh Marsh",-82.7296238,28.4225586,18499.83872,0,0,18499.83872,9,0,0,9,143.99,128.4800244,0,128.4800244,0,0,0,"Low Cover",0,0.25,0,0,21,1.524909468,0.636514168,1611268.595,11190.14233,0,0,0.625
"BB09_041",0.6,24,"Mid",0.15,0.25,0,0,2.7,11.5,3,"Urban",-82.79831075,28.49138266,5524.60212,54836.2138,84.36254244,60445.17846,6,7,4,17,147.73,409.1598082,371.1921329,37.39661626,0.571058975,6,0.040614635,"Mid Cover",0,0.6,0,0,90,2.955637794,0.605797499,481172.7296,3257.109115,6296039.746,42618.55917,0.555
"BB09_044",1,0,"Low",0,0,11356.2354,74.97349574,0.5,1.3,1.7,"Salt Marsh",-83.52205464,29.70645919,1376082.589,54320.14686,7044.272294,1437447.008,428,10,334,772,151.47,9489.978266,358.619838,9084.852373,46.50605595,12,0.079223609,"Low Cover",0.693147181,0.5,0.5,0,1507,2.029798998,0.693147181,119851783.2,791257.5637,6236787.334,41175.06657,0.5
"BB09_047",0.9,64.25,"High",0.1,0,56625,420.5659537,0.8,0.4,12.1,"Salt Marsh",-83.69853168,29.92444232,580330.6903,151626.0311,1012.350509,732969.0719,240,19,48,307,134.64,5443.917646,1126.158876,4310.239827,7.518943174,9,0.06684492,"High Cover",0.214559155,0,0.85,0.05,1005,2.675548712,0.214559155,50544690.14,375406.1953,17408997.67,129300.3392,0.265
"BB09_048",0.45,6.75,"Low",0.55,0,11400,64.85379452,3,4.2,1.2,"Salt Marsh",-84.04075749,30.06109724,74431.74611,48242.70838,1666.160213,124340.6147,31,13,79,123,175.78,707.3649716,274.4493593,423.4369445,9.478667727,11,0.062578223,"Low Cover",0.636514168,0,0.15,0.3,304,2.184359299,0.636514168,6482734.08,36879.81613,5539004.034,31511.00258,0.585
"BB09_050",1,35,"Mid",0,0,15141.6472,99.96466099,2,5.2,7.9,"Salt Marsh",-82.74078755,28.88939685,892024.6468,111291.6055,12548.92819,1015865.181,154,13,595,762,151.47,6706.708794,734.7435499,5889.117626,82.84761464,4,0.02640787,"Mid Cover",0,0,1,0,1245,2.0314687,0,77692098.87,512920.7029,12777985.99,84359.84677,0
"BB09_051",0.85,12.75,"Low",0.15,0,11356.2354,69.00969494,1.4,4.7,5,"Salt Marsh",-82.7789802,28.33184561,70958.02906,5322.187485,21.09063561,76301.30718,15,1,1,17,164.56,463.6686144,32.34192687,431.1985237,0.128163804,1,0.006076811,"Low Cover",0,0.85,0,0,72,2.480011975,0,6180185.973,37555.82142,611068.8835,3713.350046,0.255
"BB09_055",0.9,45,"High",0.1,0,17034.3531,112.4602436,2.6,6.6,7,"Urban",-82.80230693,28.30558543,145852.7745,145513.4925,1476.344493,292842.6115,31,7,70,108,151.47,1933.33737,960.6753317,962.9152604,9.746778194,3,0.019805902,"Mid Cover",0,0.9,0,0,192,2.109007377,0,12703245.61,83866.4132,16707184.34,110300.2861,0.18
"BB09_057",0.95,38,"Mid",0.05,0,34068.7062,239.7178877,3.2,13.5,2,"Salt Marsh",-82.80571046,28.53248975,26871.24021,29597.50213,485.084619,56953.82696,7,2,23,32,142.12,400.744631,208.2571217,189.0743049,3.413204468,1,0.007036307,"Mid Cover",0,0.95,0,0,76,2.501305769,0,2340387.184,16467.68354,3398247.926,23911.11685,0.0950000000000001
"BB09_058",0.7,21,"Mid",0.1,0.2,37854.118,243.8896849,1.5,11.8,5.5,"Fresh Marsh",-82.77150255,28.69700173,200654.1523,114235.6324,632.7190683,315522.5038,57,9,30,96,155.21,2032.874839,736.0069093,1292.791394,4.076535457,4,0.025771535,"Mid Cover",0.693147181,0.35,0.35,0,377,2.80660014,1.068820673,17476246.08,112597.4234,13116005.5,84504.89984,0.705
"BB09_061",0.3,3,"Low",0.7,0,30283.2944,188.3055242,1.6,1.6,15.1,"Urban",-82.67232347,28.57068701,87447.08693,40241.8771,0,127688.964,7,4,0,11,160.82,793.9868424,250.2293067,543.7575359,0,1,0.006218132,"Low Cover",0,0.3,0,0,412,1.919225553,0,7616322.876,47359.30155,4620385.693,28730.16847,0.42
"BB09_064",0.35,6.25,"Low",0.6,0.05,11600,60.81577016,1.3,3,9.2,"Salt Marsh",-83.93722962,30.00920702,572279.5626,37340.38794,2193.426103,611813.3767,222,9,104,335,190.74,3207.577733,195.7659009,3000.312271,11.49956015,3,0.015728216,"Low Cover",0.682908105,0.15,0.2,0,485,1.879848743,0.974314753,49843466.23,261316.2747,4287250.164,22476.93281,0.575
"BB09_066",0.7,17.5,"Low",0.1,0.2,1892.7059,11.37238419,2,7.6,5.9,"Salt Marsh",-82.7616617,28.87647459,814862.9181,14798.75106,7255.17865,836916.8478,181,1,344,526,166.43,5028.641758,88.91877101,4896.130013,43.59297392,0,0,"Low Cover",0.257318641,0.65,0.05,0,634,1.442531452,0.729842919,70971593.25,426435.0973,1699123.962,10209.2409,0.525
"BB09_076",1,30.5,"Mid",0,0,0,0,1.7,4.2,1.9,"Salt Marsh",-83.62491243,29.74599863,267509.3475,246500.2989,7444.99437,521454.6408,73,37,353,463,162.69,3205.204013,1515.153352,1644.288816,45.76184381,17,0.104493208,"Mid Cover",0.198515243,0.95,0.05,0,579,1.583294935,0.198515243,23299090.16,143211.569,28302021.09,173962.8808,0.0950000000000001
"BB09_077",0.9,22.5,"Mid",0.1,0,37854.118,253.0355481,2.5,8.2,8.1,"Salt Marsh",-82.7445515,28.62750517,203472.9646,93567.25849,463.9939834,297504.2171,62,5,22,89,149.6,1988.664553,625.4495888,1360.1134,3.10156406,1,0.006684492,"Mid Cover",0,0.9,0,0,242,2.684762961,0,17721754.37,118460.925,10742958.67,71811.22104,0.18
"BB09_082",0.1,1.75,"Low",0.45,0.45,7570.8236,49.98233049,1.5,14.7,0.1,"Salt Marsh",-82.82884782,28.84869468,41688.01085,25443.12603,0,67131.13688,12,3,0,15,151.47,443.1975763,167.9746883,275.222888,0,1,0.006601967,"Low Cover",0,0.1,0,0,152,2.825425051,0.474139313,3630873.959,23970.91146,2921261.729,19286.07467,0.585
"BB09_083",0.85,25.5,"Mid",0.15,0,0,0,3.2,7.2,3.7,"Urban",-82.83634074,28.25229388,58988.32631,20120.93855,1159.984959,80269.24982,16,2,55,73,136.51,588.0100346,147.395345,432.1172538,8.497435785,0,0,"Mid Cover",0,0.85,0,0,107,1.761230237,0,5137668.445,37635.83947,2310192.846,16923.24992,0.255
"BB09_088",1,50,"High",0,0,75708.236,465.3527322,1.6,2.4,3.3,"Salt Marsh",-83.61690343,29.80937235,221296.5483,37255.31239,5040.661911,263592.5226,145,7,239,391,162.69,1620.213428,228.995712,1360.234485,30.98323137,15,0.092199889,"High Cover",0.422709088,0.15,0.85,0,1598,2.335269562,0.422709088,19274123.62,118471.471,4277482.184,26292.2256,0.255
"BB09_090",0.7,17.5,"Low",0.15,0.15,0,0,1.8,16,1.3,"Mangrove",-82.81554515,28.7817085,184916.6147,25443.12603,2973.779621,213333.5203,51,3,141,195,145.86,1462.59098,174.4352532,1267.767823,20.38790361,3,0.020567668,"Low Cover",0,0.7,0,0,306,1.973641179,0.465999257,16105563.86,110417.9614,2921261.729,20027.84677,0.465
"BB09_092",1,40,"Mid",0,0,11356.2354,79.90596257,0.8,0.4,3.1,"Salt Marsh",-83.40778944,29.64299786,674135.2701,241312.8672,21.09063561,915469.2279,303,25,1,329,142.12,6441.522853,1697.9515,4743.422953,0.148400194,3,0.021108922,"Mid Cover",0,1,0,0,827,2.255495094,0,58714727.5,413134.8684,27706424.24,194950.9164,0
"BB09_099",0.85,29.75,"Mid",0.15,0,52995.7652,885.6244184,1.6,3,10.5,"Salt Marsh",-82.76594836,28.31273504,121045.697,44396.25319,253.0876273,165695.0378,26,3,12,41,59.84,2768.967878,741.9159958,2022.822477,4.229405536,10,0.167112299,"Mid Cover",0,0.85,0,0,189,2.806078517,0,10542639.48,176180.4726,5097371.888,85183.35374,0.255
"BB09_103",0.98,29.4,"Mid",0.02,0,37854.118,253.0355481,3.1,8.7,8.1,"Salt Marsh",-82.82171371,28.3253962,102517.8712,114235.6324,231.9969917,216985.5006,30,9,11,50,149.6,1450.437838,763.6071684,685.2798877,1.55078203,7,0.046791444,"Mid Cover",0,0.98,0,0,137,2.884298016,0,8928933.314,59685.38311,13116005.5,87673.83358,0.0392000000000001
"BB09_105",0.7,10.5,"Low",0.3,0,28390.5885,202.4284385,2.2,9.3,6.9,"Urban",-82.75571667,28.58148211,185530.6383,79315.94281,506.1752546,265352.7564,61,6,24,91,140.25,1891.998263,565.5325691,1322.856601,3.609092724,2,0.01426025,"Low Cover",0,0.7,0,0,158,2.331873556,0,16159043.08,115215.9934,9106688.698,64931.82673,0.42
"BB09_106",0.9,31.5,"Mid",0.05,0.05,17034.3531,113.8659967,1.6,10.5,6.5,"Fresh Marsh",-82.76034464,28.68820672,237234.3325,64517.19174,1940.338476,303691.8627,94,5,92,191,149.6,2030.02582,431.2646507,1585.790993,12.97017698,4,0.026737968,"Mid Cover",0,0.9,0,0,350,2.343699713,0.206192051,20662246.59,138116.6216,7407564.735,49515.80705,0.185
"BB09_114",0.85,12.75,"Low",0.15,0,18927.059,165.9249496,2.8,6.4,9.9,"Salt Marsh",-82.72693259,28.64263323,235170.0164,10644.37497,780.3535176,246594.7449,62,2,37,101,114.07,2161.784386,93.31441194,2061.628968,6.841005677,2,0.017533094,"Low Cover",0,0.85,0,0,217,2.65336653,0,20482452.17,179560.3767,1222137.767,10713.928,0.255
"BB09_115",0.95,57,"High",0.01,0.04,94635.295,712.7761919,1.5,0.7,12,"Mangrove",-82.7513688,28.26713935,637795.0522,14798.75106,42.18127122,652635.9846,107,1,2,110,132.77,4915.538033,111.461558,4803.758772,0.317701824,28,0.210891015,"High Cover",0,0.95,0,0,649,2.807910962,0.169226091,55549626.83,418389.8985,1699123.962,12797.49915,0.0958
"BB09_118",0.95,23.75,"Mid",0.05,0,0,0,1.5,11.9,5.5,"Mangrove",-82.77309066,28.82720424,256407.0483,25443.12603,1750.522756,283600.6971,67,3,83,153,160.82,1763.466591,158.208718,1594.372891,10.88498169,0,0,"Mid Cover",0,0.95,0,0,221,1.883279179,0,22332120.33,138864.0737,2921261.729,18164.79125,0.0950000000000001
"BB09_119",0.96,28.5,"Mid",0.04,0,99367.05975,672.6261406,3.3,10,4.4,"Salt Marsh",-82.80884743,28.40262003,27792.00723,14798.75106,21.09063561,42611.84893,8,1,1,10,147.73,288.4441138,100.1743116,188.1270374,0.142764744,0,0,"Mid Cover",0.057907517,0.95,0.01,0,72,2.870000367,0.057907517,2420582.639,16385.17999,1699123.962,11501.54986,0.0958
"BB09_120",1,35,"Mid",0,0,39746.8239,247.1510005,1.3,3.4,3.2,"Salt Marsh",-83.62335928,29.78543277,548795.6106,6455.229184,2889.417079,558140.2569,280,2,137,419,160.82,3470.589833,40.13946763,3412.483588,17.96677701,6,0.037308792,"Mid Cover",0.693147181,0.5,0.5,0,860,2.275134478,0.693147181,47798099.52,297214.8956,741159.4765,4608.627512,0.5
"BB09_121",1,14,"Low",0,0,54888.4711,353.6400432,3.4,16.1,0.8,"Salt Marsh",-82.84528449,28.46019082,136031.3491,60362.81565,1834.885298,198229.0501,25,6,87,118,155.21,1277.166742,388.9106092,876.4341801,11.82195283,2,0.012885768,"Low Cover",0.500402424,0.2,0.8,0,241,2.526255108,0.500402424,11847835.22,76334.22599,6930578.539,44652.91244,0.32
"BB09_123",0.8,11.5,"Low",0.2,0,0,0,3,7.3,9.8,"Salt Marsh",-83.93298031,29.96434427,22824.91758,24687.87504,3374.501698,50887.29432,10,7,160,177,185.13,274.8733016,133.3542648,123.2912957,18.22774104,4,0.021606439,"Low Cover",0.376770161,0.7,0,0.1,247,1.665641467,0.376770161,1987967.216,10738.22295,2834547.313,15311.11821,0.46
"BB09_040",1,30,"Mid",0,0,66244.7065,442.8122092,1.6,1.2,4,"Fresh Marsh",-83.63122307,29.8411677,135723.6851,11777.41667,253.0876273,147754.1894,8,3,12,23,149.6,987.6616939,78.72604726,907.2438844,1.691762215,0,0,"Mid Cover",0.134742168,0.03,0.97,0,417,2.40263525,0.134742168,11821038.8,79017.63905,1352228.36,9038.959627,0.0582
"BB09_042",0.99,34.3,"Mid",0.01,0,0,0,2.6,14.5,2.4,"Fresh Marsh",-82.80404592,28.70745464,280180.6048,15966.56245,7381.722464,303528.8897,81,3,350,434,132.77,2286.125553,120.2573055,2110.270429,55.59781927,0,0,"Mid Cover",0.056465174,0.98,0.01,0,522,1.236715261,0.056465174,24402710.54,183796.8709,1833206.65,13807.38608,0.0394000000000001
"BB09_068",1,35,"Mid",0,0,0,0,2.1,5.9,0.9,"Salt Marsh",-83.64957488,29.78687757,167475.1745,55830.97926,14826.71683,238132.8706,72,16,703,791,157.08,1515.997394,355.4302219,1066.177581,94.38959021,0,0,"Mid Cover",0.422709088,0.15,0.85,0,816,0.599976715,0.422709088,14586477.92,92860.18535,6410254.103,40808.84965,0.255
"BB09_093",1,30,"Mid",0,0,41639.5298,271.5503443,3.5,15.2,0.9,"Salt Marsh",-82.81790052,28.560187,143006.3588,15966.56245,590.5377971,159563.459,37,3,28,68,153.34,1040.586011,104.1252279,932.6096178,3.851166017,2,0.013042911,"Mid Cover",0,1,0,0,251,2.846990994,0,12455333.16,81226.90207,1833206.65,11955.17575,0
"BB09_109",0.4,4,"Low",0.6,0,33122.35325,224.2087135,2.2,6.4,9.7,"Salt Marsh",-82.72766557,28.61788926,12026.21397,15931.79276,0,27958.00673,1,2,0,3,147.73,189.2507055,107.8439908,81.40671475,0,4,0.027076423,"Low Cover",0,0.4,0,0,131,2.088452186,0,1047439.449,7090.228453,1829214.555,12382.14686,0.48
"BB09_113",1,45,"High",0,0,0,0,2.3,4.1,2.8,"Salt Marsh",-83.36174101,29.44995952,545431.762,136453.8122,26173.47879,708059.053,105,28,1241,1374,136.51,5186.865819,999.5883979,3995.54437,191.733051,9,0.065929236,"Mid Cover",0.610864302,0.3,0.7,0,1451,0.690401648,0.610864302,47505120.55,347997.3668,15666993.86,114768.1039,0.42
"BB09_116",0.25,4,"Low",0.75,0,1875,11.52498617,4.5,10.3,1.4,"Salt Marsh",-83.74053744,29.83766768,36554.53523,500858.7107,2087.972925,539501.2189,2,69,99,170,162.69,3316.130179,3078.607847,224.6882736,12.83405818,4,0.024586637,"Low Cover",0.950270539,0.15,0.05,0.05,212,1.483258531,0.950270539,3183766.923,19569.53054,57506274.25,353471.4749,0.41
"BB09_043",0.75,12,"Low",0.25,0,0,0,NA,11.3,4,"Salt Marsh",-84.01043765,29.96494629,4603.8351,7588.270884,337.4501698,12529.55615,5,3,16,24,173.91,72.04620867,43.63332117,26.47251509,1.940372433,0,0,"Low Cover",0,0.75,0,0,26,1.115617846,0,400977.2746,2305.659678,871250.0696,5009.775572,0.375
"BB09_060",1,10,"Low",0,0,0,0,1,1.5,1.2,"Salt Marsh",-83.42761448,29.65731299,25922.21758,61530.62704,295.2688985,87748.11352,5,8,14,27,153.34,572.2454253,401.2692516,169.0505907,1.925583008,0,0,"Low Cover",0.693147181,0.5,0.5,0,138,3.113011689,0.693147181,2257730.768,14723.69094,7064661.227,46071.87444,0.5
"BB09_108",0.6,6.75,"Low",0.4,0,0,0,NA,5,1.7,"Salt Marsh",-84.06328112,30.0498324,0,5322.187485,337.4501698,5659.637654,0,1,16,17,162.69,34.78786437,32.71367315,0,2.074191221,0,0,"Low Cover",0.693147181,0.3,0,0.3,46,0.929749767,0.693147181,0,0,611068.8835,3756.03223,0.66
